ISSN	Título	Área de Avaliação	Estrato
00029955	JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	MEDICINA I                                        	A1
00030007	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	ASTRONOMIA / FÍSICA                               	A1
0003004X	THE AMERICAN MINERALOGIST	ASTRONOMIA / FÍSICA                               	A2
00030082	AMERICAN MUSEUM NOVITATES	BIODIVERSIDADE	A1
00030090	BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	BIODIVERSIDADE	A2
00030147	THE AMERICAN NATURALIST	ASTRONOMIA / FÍSICA                               	A1
0003021X	JOURNAL OF THE AMERICAN OIL CHEMISTS' SOCIETY	BIOTECNOLOGIA                                     	A3
00030554	THE AMERICAN POLITICAL SCIENCE REVIEW	ECONOMIA                                          	A1
0003066X	THE AMERICAN PSYCHOLOGIST	MEDICINA II                                       	A1
00031062	JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE	BIOTECNOLOGIA                                     	A3
00031232	THE AMERICAN SOCIOLOGIST	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00031305	THE AMERICAN STATISTICIAN	CIÊNCIAS AGRÁRIAS I                               	A3
00031348	THE AMERICAN SURGEON	MEDICINA I                                        	B3
00031488	JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION	MEDICINA VETERINÁRIA                              	A3
00032409	ANAESTHESIA (LONDON. PRINT)	BIOTECNOLOGIA                                     	A1
00032573	ANÁLISE SOCIAL	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
00032638	ANALYSIS (OXFORD. PRINT)	ENGENHARIAS IV                                    	A1
00032654	ANALYST (LONDON. 1877. PRINT)	ASTRONOMIA / FÍSICA                               	A1
00032670	ANALYTICA CHIMICA ACTA (PRINT)	ASTRONOMIA / FÍSICA                               	A1
00032697	ANALYTICAL BIOCHEMISTRY (PRINT)	ASTRONOMIA / FÍSICA                               	A2
00032700	ANALYTICAL CHEMISTRY (WASHINGTON)	ASTRONOMIA / FÍSICA                               	A1
00032719	ANALYTICAL LETTERS	BIOTECNOLOGIA                                     	B1
0003276X	THE ANATOMICAL RECORD (PRINT)	BIODIVERSIDADE	A4
00032999	ANESTHESIA AND ANALGESIA	BIOTECNOLOGIA                                     	A1
00033006	ANESTHESIA PROGRESS	INTERDISCIPLINAR                                  	B2
00033022	ANESTHESIOLOGY (PHILADELPHIA)	CIÊNCIAS BIOLÓGICAS II                            	A1
00033197	ANGIOLOGY (ROSLYN, N.Y.)	MEDICINA I                                        	A4
00033219	THE ANGLE ORTHODONTIST	CIÊNCIAS BIOLÓGICAS I                             	A2
00033472	ANIMAL BEHAVIOUR	BIODIVERSIDADE	A1
00033804	ANNALEN DER PHYSIK (LEIPZIG)	ASTRONOMIA / FÍSICA                               	A3
00033847	ANNALES BOTANICI FENNICI (PRINT)	CIÊNCIAS AMBIENTAIS	B2
00034088	ANNALES DE LIMNOLOGIE	BIODIVERSIDADE	B2
00034266	ANNALES D'ENDOCRINOLOGIE	MEDICINA I                                        	B2
00034347	ANNALES DES TELECOMMUNICATIONS	BIOTECNOLOGIA                                     	A4
00034487	ANNALES MÉDICO-PSYCHOLOGIQUES	PSICOLOGIA                                        	B2
00034541	ANNALES ZOOLOGICI	BIODIVERSIDADE	B1
0003455X	ANNALES ZOOLOGICI FENNICI (PRINT)	BIODIVERSIDADE	A4
00034681	ANNALI DI STOMATOLOGIA	CIÊNCIAS BIOLÓGICAS II                            	B3
00034746	ANNALS OF APPLIED BIOLOGY	BIODIVERSIDADE	A2
00034800	ANNALS OF HUMAN GENETICS (PRINT)	ANTROPOLOGIA / ARQUEOLOGIA                        	B2
00034819	ANNALS OF INTERNAL MEDICINE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
0003486X	ANNALS OF MATHEMATICS	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A1
00034894	THE ANNALS OF OTOLOGY, RHINOLOGY & LARYNGOLOGY	CIÊNCIAS BIOLÓGICAS II                            	A4
00034916	ANNALS OF PHYSICS (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00034932	ANNALS OF SURGERY	CIÊNCIAS BIOLÓGICAS I                             	A1
00034967	ANNALS OF THE RHEUMATIC DISEASES	ASTRONOMIA / FÍSICA                               	A1
00034975	THE ANNALS OF THORACIC SURGERY	CIÊNCIAS BIOLÓGICAS II                            	A2
