ISSN	Título	Área de Avaliação	Estrato
23299533	JOURNAL OF APPLIED BIOINFORMATICS & COMPUTATIONAL BIOLOGY	BIOTECNOLOGIA                                     	B4
2329955X	JOURNAL OF PLANT PHYSIOLOGY & PATHOLOGY	BIODIVERSIDADE	B4
23299568	JOURNAL OF FASHION TECHNOLOGY & TEXTILE ENGINEERING	ENGENHARIAS II                                    	A3
23300396	JOURNAL OF FORENSIC INVESTIGATION	MEDICINA II                                       	B3
23300914	JOURNAL OF SURGERY	MEDICINA I                                        	C
23300930	JOURNAL OF SURGERY	MEDICINA I                                        	C
23301619	MOVEMENT DISORDERS CLINICAL PRACTICE	CIÊNCIAS BIOLÓGICAS I                             	B2
23301643	JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
23302038	STUDIES IN ENGINEERING AND TECHNOLOGY (PRINT)	ENGENHARIAS II                                    	B2
23302933	EVOLUTIONARY BEHAVIORAL SCIENCES	MEDICINA I                                        	B1
23304022	ACS PHOTONICS	ASTRONOMIA / FÍSICA                               	A1
23304847	ECONOMIC ANTHROPOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
23307293	JOURNAL OF FOOD AND NUTRITION SCIENCES	CIÊNCIAS AGRÁRIAS I                               	B4
23307420	INTERNATIONAL JOURNAL OF SCIENCE, TECHNOLOGY AND SOCIETY	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B1
23307455	INTERNATIONAL JOURNAL OF PHILOSOPHY	FILOSOFIA	C
23307536	INTERNATIONAL JOURNAL OF ENVIRONMENTAL PROTECTION AND POLICY	CIÊNCIAS AMBIENTAIS	B3
23308125	AMERICAN JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE (IMPRESSO)	ODONTOLOGIA                                       	B3
23308176	HUMANITIES AND SOCIAL SCIENCES	CIÊNCIAS DA RELIGIÃO E TEOLOGIA	B1
23308230	EUROPEAN JOURNAL OF PREVENTIVE MEDICINE	SAÚDE COLETIVA                                    	C
23308249	REVIEWS IN FISHERIES SCIENCE & AQUACULTURE	BIODIVERSIDADE	A1
23308257	REVIEWS IN FISHERIES SCIENCE & AQUACULTURE	BIODIVERSIDADE	A1
23308559	AMERICAN JOURNAL OF SPORTS SCIENCE	CIÊNCIA DE ALIMENTOS                              	C
23308753	AMERICAN JOURNAL OF APPLIED CHEMISTRY	ASTRONOMIA / FÍSICA                               	C
23308796	AMERICAN JOURNAL OF HEALTH RESEARCH	CIÊNCIAS AMBIENTAIS	C
2330880X	AMERICAN JOURNAL OF BIOMEDICAL AND LIFE SCIENCES (IMPRESSO)	MEDICINA I                                        	C
23310677	PLANT	CIÊNCIAS AGRÁRIAS I                               	B4
23310928	CANCER CELL  & MICROENVIRONMENT	ENFERMAGEM                                        	B1
23311843	COGENT ENVIROMENTAL SCIENCE (ONLINE)	PSICOLOGIA                                        	A4
2331186X	COGENT EDUCATION (ONLINE)	PSICOLOGIA                                        	A2
23311886	COGENT SOCIAL SCIENCES	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B2
23311908	COGENT PSYCHOLOGY (ONLINE)	PSICOLOGIA                                        	A2
23311916	COGENT ENGINEERING	BIODIVERSIDADE	A3
23311932	COGENT FOOD & AGRICULTURE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
23311967	ARCHAEOLOGICAL DISCOVERY	ANTROPOLOGIA / ARQUEOLOGIA                        	C
23311975	COGENT BUSINESS & MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
23311983	COGENT ARTS & HUMANITIES	ARTES	A2
23311991	ADVANCES IN ENTOMOLOGY	CIÊNCIAS AGRÁRIAS I                               	B4
23312025	COGENT BIOLOGY	BIODIVERSIDADE	B4
2331205X	COGENT MEDICINE	EDUCAÇÃO                                          	B2
23312165	TRENDS IN HEARING	EDUCAÇÃO FÍSICA                                   	A2
23312726	CASE REPORTS IN CLINICAL PATHOLOGY	INTERDISCIPLINAR                                  	B3
23315075	ADVANCES IN ECONOMICS AND BUSINESS (ONLINE)	COMUNICAÇÃO E INFORMAÇÃO	B3
23316055	NEUTROSOPHIC SETS AND SYSTEMS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
23316071	COMPUTER SCIENCE AND INFORMATION TECHNOLOGY	ENGENHARIAS IV                                    	C
23316179	SOCIOLOGY AND ANTHROPOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	B3
23316268	ENVIRONMENT AND ECOLOGY RESEARCH (ONLINE)	BIODIVERSIDADE	B4
23316330	ENERGY AND ENVIRONMENTAL ENGINEERING	ENGENHARIAS I                                     	C
2331687X	TRANSLATING THE AMERICAS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B4
23317019	PHYSICAL REVIEW APPLIED	ASTRONOMIA / FÍSICA                               	A1
23317469	JOURNAL OF LABORATORY CHEMICAL EDUCATION (ONLINE)	ASTRONOMIA / FÍSICA                               	C
23318325	BIO-PROTOCOL	BIODIVERSIDADE	B3
23318945	UNIVERSAL JOURNAL OF PUBLIC HEALTH	ENFERMAGEM                                        	B1
2331950X	UNIVERSAL JOURNAL OF MANAGEMENT (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
23320036	ADVANCES IN PHARMACOLOGY AND PHARMACY	MEDICINA VETERINÁRIA                              	C
23320796	JOURNAL OF ELECTRICAL & ELECTRONIC SYSTEMS	ENGENHARIAS III                                   	B4
23321032	CHEMICAL AND MATERIALS ENGINEERING	CIÊNCIAS BIOLÓGICAS III                           	C
23321660	JOURNAL (CANADIAN SOCIETY OF FORENSIC SCIENCE. ONLINE)	BIODIVERSIDADE	B2
23322004	ART AND DESIGN REVIEW	FILOSOFIA	B1
23322039	COGENT ECONOMICS & FINANCE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
23322144	MATHEMATICS AND STATISTICS (ONLINE)	ENSINO	A3
23322551	THEATRE AND PERFORMANCE DESIGN	ARTES	A4
23322926	INTERNATIONAL JOURNAL OF CLINICAL THERAPEUTICS AND DIAGNOSIS	NUTRIÇÃO	B4
23323353	UNIVERSAL JOURNAL OF MECHANICAL ENGINEERING (PRINT)	ENGENHARIAS II                                    	C
23323469	JOURNAL OF NEUROLOGY AND PSYCHOLOGY	FARMÁCIA                                          	C
23324252	OPERATIVE NEUROSURGERY	MEDICINA I                                        	B1
23324325	JOURNAL OF COMPUTATIONAL AND THEORETICAL TRANSPORT	ENGENHARIAS III                                   	B2
23326492	SOCIOLOGY OF RACE & ETHNICITY	ODONTOLOGIA                                       	A4
23327251	CASE REPORTS IN INTERNAL MEDICINE	BIOTECNOLOGIA                                     	C
23327294	APPLIED ECONOMICS AND FINANCE	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A3
23327707	IEEE POWER AND ENERGY TECHNOLOGY SYSTEMS JOURNAL (ONLINE)	ENGENHARIAS III                                   	C
23327731	IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING	CIÊNCIA DA COMPUTAÇÃO                             	A2
23327766	IEEE TRANSACTIONS ON MULTI-SCALE COMPUTING SYSTEMS	CIÊNCIA DA COMPUTAÇÃO                             	A2
23327782	IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION	ENGENHARIAS IV                                    	A1
23327790	IEEE TRANSACTIONS ON BIG DATA	CIÊNCIA DA COMPUTAÇÃO                             	A3
23327812	NEUROLOGY® NEUROIMMUNOLOGY & NEUROINFLAMMATION	BIOTECNOLOGIA                                     	A1
23328533	JOURNAL OF LEARNING STYLES	COMUNICAÇÃO E INFORMAÇÃO	B1
23328940	TEMPERATURE	BIODIVERSIDADE	A3
23329017	ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS, PART B: MECHANICAL ENGINEERING	ENGENHARIAS I                                     	A3
23329025	ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS, PART B: MECHANICAL ENGINEERING	ENGENHARIAS I                                     	A3
23330384	JOURNAL OF ORAL & FACIAL PAIN AND HEADACHE	BIOTECNOLOGIA                                     	A4
23331119	JOURNAL OF FOOD AND NUTRITION RESEARCH	BIOTECNOLOGIA                                     	B2
23331135	INTERNATIONAL JOURNAL OF DENTAL SCIENCE AND RESEARCH	CIÊNCIAS BIOLÓGICAS I                             	B4
23331232	TURKISH JOURNAL OF ANALYSIS AND NUMBER THEORY (ONLINE)	ASTRONOMIA / FÍSICA                               	C
23331240	JOURNAL OF FOOD AND NUTRITION RESEARCH	ASTRONOMIA / FÍSICA                               	B2
23331275	AMERICAN JOURNAL OF EPIDEMIOLOGY AND INFECTIOUS DISEASE	GEOCIÊNCIAS                                       	C
23332042	SPEECH PROSODY	LINGUíSTICA E LITERATURA	C
23332581	MODERN ENVIRONMENTAL SCIENCE AND ENGINEERING	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
23333561	OCCUPATIONAL DISEASES AND ENVIRONMENTAL MEDICINE	INTERDISCIPLINAR                                  	B3
23334606	AMERICAN JOURNAL OF SPORTS SCIENCE AND MEDICINE	EDUCAÇÃO FÍSICA                                   	C
23334819	AMERICAN JOURNAL OF WATER RESOURCES	MATERIAIS                                         	B4
23335084	EARTH AND SPACE SCIENCE	ASTRONOMIA / FÍSICA                               	A3
23335718	REVIEW OF HISTORY AND POLITICAL SCIENCE	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B3
23335726	INTERNATIONAL REGIMES: FROM PUBLIC-INTERGOVERNMENTAL TO PUBLIC-PRIVATE TRANSNATIONAL ARENAS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B3
23335807	JOURNAL OF SOCIOLOGY AND SOCIAL WORK	SOCIOLOGIA                                        	A4
23335998	WORLD JOURNAL OF EDUCATIONAL RESEARCH	CIÊNCIAS AMBIENTAIS	C
23336056	JOURNAL OF MANAGEMENT POLICIES AND PRACTICES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B4
23336080	JOURNAL OF MARKETING MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
23336099	JOURNAL OF MARKETING MANAGEMENT (ONLINE)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
23336447	JSM OPHTHALMOLOGY	MEDICINA II                                       	C
23336625	CLINICAL RESEARCH IN PULMONOLOGY	ENGENHARIAS IV                                    	C
23336668	INTERNATIONAL JOURNAL OF PLANT BIOLOGY & RESEARCH	CIÊNCIAS AGRÁRIAS I                               	C
23336684	JOURNAL OF HEMATOLOGY & TRANSFUSION	MEDICINA II                                       	C
23336692	JOUNAL OF ENDOCRINOLOGY, DIABETES & OBESITY	SAÚDE COLETIVA                                    	C
23336706	JOURNAL OF HUMAN NUTRITION AND FOOD SCIENCE	CIÊNCIA DE ALIMENTOS                              	C
23337109	JSM BIOCHEMISTRY & MOLECULAR BIOLOGY	BIOTECNOLOGIA                                     	C
23337117	JSM BIOTECHNOLOGY & BIOMEDICAL ENGINEERING	BIODIVERSIDADE	C
23337133	JSM DENTISTRY	BIOTECNOLOGIA                                     	B3
23337214	GERONTOLOGY AND GERIATRIC MEDICINE	CIÊNCIAS BIOLÓGICAS II                            	B2
23337311	JOURNAL OF HAITIAN STUDIES	ANTROPOLOGIA / ARQUEOLOGIA                        	B1
23337931	ACTA BIOMATERIALIA ODONTOLOGICA SCANDINAVICA	ODONTOLOGIA                                       	B3
2333794X	GLOBAL PEDIATRIC HEALTH	CIÊNCIAS AMBIENTAIS	B3
23338334	AIMS ENERGY	ANTROPOLOGIA / ARQUEOLOGIA                        	B1
23338628	INTERNATIONAL JOURNAL OF ENVIRONMENTAL BIOREMEDIATION & BIODEGRADATION (PRINT)	BIODIVERSIDADE	C
23339063	THE PLANETARIAN	ENSINO	B4
23339187	INTERNATIONAL JOURNAL OF MECHANICAL ENGINEERING AND AUTOMATION	ENGENHARIAS II                                    	C
23339403	IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING (ONLINE)	ENGENHARIAS III                                   	A2
23339691	ANNUAL REVIEW OF LINGUISTICS	LINGUíSTICA E LITERATURA	A1
23339756	JOURNAL OF DENTAL SLEEP MEDICINE	MEDICINA II                                       	C
23340479	GLOBAL AFFAIRS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A4
23341009	RESEARCH	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
23341823	JSM GENETICS & GENOMICS	CIÊNCIAS AGRÁRIAS I                               	C
23342331	AMERICAN INTERNATIONAL JOURNAL OF BIOLOGY	MEDICINA II                                       	C
23342358	INTERNATIONAL JOURNAL OF LANGUAGE AND LITERATURE (ONLINE)	LINGUíSTICA E LITERATURA	A1
23342404	JOURNAL OF AGRICULTURE AND ENVIRONMENTAL SCIENCES	GEOCIÊNCIAS                                       	B4
23342412	JOURNAL OF AGRICULTURE AND ENVIRONMENTAL SCIENCES	CIÊNCIAS AGRÁRIAS I                               	B4
23342420	JOURNAL OF ANTHROPOLOGY AND ARCHAEOLOGY (IMPRESSO)	ASTRONOMIA / FÍSICA                               	C
23342447	JOURNAL OF GEOGRAPHY AND EARTH SCIENCES (PRINT)	CIÊNCIAS AMBIENTAIS	B2
23342536	OPTICA	ASTRONOMIA / FÍSICA                               	A1
2334265X	NPJ SCHIZOPHRENIA	ASTRONOMIA / FÍSICA                               	A1
23342978	JOURNAL OF EDUCATION AND HUMAN DEVELOPMENT	EDUCAÇÃO                                          	B1
23343745	PERSPECTIVES ON TERRORISM	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A1
23345985	MARINE RESOURCE ECONOMICS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
23348577	FILOZOFIJA I DRUSTVO (ONLINE)	DIREITO                                           	A4
23348666	ZBORNIK RADOVA AKADEMIJE UMETNOSTI	ARTES	B1
23356812	INTERNATIONAL JOURNAL OF ENERGY AND STATISTICS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B4
23363193	ACTA MUSEI SILESIAE, SCIENTIAE NATURALES	BIODIVERSIDADE	B4
23364351	ACTA GEODYNAMICA ET GEOMATERIALIA	ENGENHARIAS I                                     	B2
23364416	ÉTUDES ROMANES DE BRNO	LINGUíSTICA E LITERATURA	B1
23366052	ACTA UNIVERSITATIS CAROLINAE: KINANTHROPOLOGICA	EDUCAÇÃO                                          	B2
23385502	JOURNAL OF ENGINEERING AND TECHNOLOGICAL SCIENCES	CIÊNCIAS AMBIENTAIS	B3
23387602	INDONESIAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW	DIREITO                                           	A3
2338770X	THE INDONESIA JOURNAL OF INTERNATIONAL & COMPARATIVE LAW	DIREITO                                           	B1
23393874	ARCHIVOS DE MEDICINA (MANIZALES)	CIÊNCIA DA COMPUTAÇÃO                             	B3
23394889	ANUARIO EN ESTUDIOS POLÍTICOS LATINO-AMERINOS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B4
23398523	INDIALOGS	LINGUíSTICA E LITERATURA	C
2340003X	MOENIA - UNIVERSIDADE DE SANTIAGO DE COMPOSTELA	LINGUíSTICA E LITERATURA	A4
23400129	CUADERNOS GEOGRÁFICOS	GEOGRAFIA                                         	A1
23401079	INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE	ENFERMAGEM                                        	B1
23401117	EDULEARN PROCEEDINGS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
23401478	ESPACIO, TIEMPO Y FORMA - SERIE VII-HISTORIA DEL ARTE	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
23401869	KAMCHATKA - REVISTA DE ANÁLISIS CULTURAL	LINGUíSTICA E LITERATURA	A2
23402199	ARAUCARIA: REVISTA IBEROAMERICANA DE FILOSOFÍA, POLÍTICA Y HUMANIDADES	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A1
23402776	REVISTA DE ESTUDIOS ANDALUCES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
23403519	ANALES DEL MUSEO NACIONAL DE ANTROPOLOGÍA	ANTROPOLOGIA / ARQUEOLOGIA                        	B2
23404841	SCRIPTA	ARTES	B2
23404876	INTERNATIONAL JOURNAL OF PRODUCTION MANAGEMENT AND ENGINEERING	ENGENHARIAS III                                   	B2
23405074	ACTA BOTANICA MALACITANA (ONLINE)	BIODIVERSIDADE	B4
23405155	ARS IURIS SALMANTICENSIS	DIREITO                                           	A1
23405503	ACTAS DE ARQUITECTURA RELIGIOSA CONTEMPORÁNEA	ARQUITETURA, URBANISMO E DESIGN	B1
23405724	ANALES DEL MUSEO DE AMÉRICA	ANTROPOLOGIA / ARQUEOLOGIA                        	B1
23406720	JOURNAL OF SUPRANATIONAL POLICIES OF EDUCATION	EDUCAÇÃO                                          	A4
23407263	ESPACIO, TIEMPO Y EDUCACIÓN	EDUCAÇÃO                                          	A2
23407743	AGUA Y TERRITORIO	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
23408235	PLANUR-E	ARQUITETURA, URBANISMO E DESIGN	A4
23408413	METHAODOS.REVISTA DE CIENCIAS SOCIALES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
23408472	AGUA Y TERRITORIO	ARQUITETURA, URBANISMO E DESIGN	A4
2340860X	CADERNOS DE DEREITO ACTUAL (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
23408812	SPORT TK: REVISTA EUROAMERICANA DE CIENCIAS DEL DEPORTE (ONLINE)	BIOTECNOLOGIA                                     	B2
23408960	CRENEIDA. ANUARIO DE LITERATURAS HISPANICAS	LINGUíSTICA E LITERATURA	B1
23409029	REVISTA DE ESCRITORAS IBÉRICAS	LINGUíSTICA E LITERATURA	B2
2340924X	EUROPEAN JOURNAL OF CHILD DEVELOPMENT, EDUCATION AND PSYCHOPATHOLOGY	EDUCAÇÃO                                          	B3
23409436	BUSINESS RESEARCH QUARTERLY (PRINT)	ENGENHARIAS III                                   	A1
23409592	THE AGE OF HUMAN RIGHTS JOURNAL	DIREITO                                           	A2
23409711	REVISTA INDEXADA DE TEXTOS ACADÉMICOS	ARQUITETURA, URBANISMO E DESIGN	A3
23409886	CITIUS, ALTIUS, FORTIUS.	EDUCAÇÃO                                          	B1
23409991	REVISTA INTERNACIONAL DE CIENCIA Y SOCIEDAD	ENGENHARIAS II                                    	B2
23410124	PUENTES DE CRÍTICA LITERARIA Y CULTURAL	LINGUíSTICA E LITERATURA	C
23410485	IBEROAMÉRICA SOCIAL: REVISTA-RED DE ESTUDIOS SOCIALES	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
23412224	ESTACIÓN POESÍA	LINGUíSTICA E LITERATURA	C
23412690	REVISTA DE LA ASOCIACIÓN ESPAÑOLA DE INVESTIGACIÓN DE LA COMUNICACIÓN	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
23413409	BOLETÍN DEL MUSEO ARQUEOLÓGICO NACIONAL	INTERDISCIPLINAR                                  	B2
23414839	CUADERNOS DE GOBIERNO Y ADMINISTRACIÓN PÚBLICA	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A4
23419687	RUUKKU	ARTES	B3
23435534	REVISTA VENEZOLANA DE SALUD PÚBLICA (ONLINE)	CIÊNCIAS BIOLÓGICAS II                            	B4
23436441	REVISTA HUMANARTES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B4
23436615	REVISTA ELECTRÓNICA DE LA CRÍTICA	LINGUíSTICA E LITERATURA	C
23443219	TRANSYLVANIAN REVIEW OF SYSTEMATICAL AND ECOLOGICAL RESEARCH	CIÊNCIAS AGRÁRIAS I                               	B4
23444916	ANNALS. FOOD SCIENCE AND TECHNOLOGY	ASTRONOMIA / FÍSICA                               	C
23444959	ROMANIAN NEUROSURGERY (ONLINE)	MEDICINA I                                        	C
23445610	ATELIER DE TRADUCTION	INTERDISCIPLINAR                                  	B3
23448407	UD Y LA GEOMATICA	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
23448431	REVISTA ZERO	DIREITO                                           	B2
23449195	REVISTA PYMES, INNOVACIÓN Y DESARROLLO (PID)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
23449225	REVISTA DE EDUCACIÓN EN BIOLOGÍA	CIÊNCIAS BIOLÓGICAS I                             	A3
23449292	EL ARCO Y LA LIRA - TENSIONES Y DEBATES	FILOSOFIA	B1
23449365	REVISTA ANFIBIA	ANTROPOLOGIA / ARQUEOLOGIA                        	B2
2344956X	DOCUMENTOS DE TRABAJO (INSTITUTO DE RELACIONES INTERNACIONALES)	SOCIOLOGIA                                        	B4
23449594	REVISTA DEL CISEN TRAMAS/MAEPOVA	ANTROPOLOGIA / ARQUEOLOGIA                        	A2
23449918	REVISTA DE ARQUEOLOGÍA HISTÓRICA ARGENTINA Y LATINOAMERICANA	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
23449993	ASOCIACIÓN ARGENTINA DE ARQUITECTURA E INGENIERÍA HOSPITALARIA	SAÚDE COLETIVA                                    	C
23452641	ARCHIVES OF CLINICAL INFECTIOUS DISEASES	EDUCAÇÃO FÍSICA                                   	B1
23453656	IRANIAN JOURNAL OF PATHOLOGY	BIOTECNOLOGIA                                     	B2
23454490	PATIENT SAFETY & QUALITY IMPROVEMENT JOURNAL	PSICOLOGIA                                        	B1
23455063	JOURNAL OF ARCHIVES IN MILITARY MEDICINE	EDUCAÇÃO FÍSICA                                   	B2
2345508X	JOURNAL OF HEAT AND MASS TRANSFER RESEARCH	ENGENHARIAS II                                    	C
23456426	RAZAVI INTERNATIONAL JOURNAL OF MEDICINE	BIOTECNOLOGIA                                     	B3
23456485	JOURNAL OF DENTISTRY (SHIRAZ)	INTERDISCIPLINAR                                  	B4
23456566	POULTRY SCIENCE JOURNAL	MEDICINA VETERINÁRIA                              	B3
23456787	INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN CHEMICAL ENGINEERING	ENSINO	B4
23460261	AVANCES EN ENFERMERÍA	BIOTECNOLOGIA                                     	B1
23460849	ANUARIO DE DERECHO CONSTITUCIONAL LATINOAMERICANO	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A3
2346206X	TURISMO Y SOCIEDAD (ONLINE)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
23463120	ANUARIO IBEROAMERICANO DE DERECHO INTERNACIONAL PENAL (ONLINE)	DIREITO                                           	A2
23463414	CUIDARTE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
23463473	REVISTA DEL INSTITUTO COLOMBIANO DE DERECHO PROCESAL	DIREITO                                           	B3
23463775	TROPICAL GRASSLANDS - FORRAJES TROPICALES	BIODIVERSIDADE	B1
23464712	GÓNDOLA, ENSEÑANZA Y APRENDIZAJE DE LAS CIENCIAS	ASTRONOMIA / FÍSICA                               	A3
23464747	RICERCARE	ARTES	A4
2346562X	ESTONIAN JOURNAL OF EDUCATION	PSICOLOGIA                                        	B4
23468734	REVISTA CARDINALIS	GEOGRAFIA                                         	B4
23468866	ARCHIVOS DE CIENCIAS DE LA EDUCACIÓN	EDUCAÇÃO                                          	A4
23468904	CUESTIONES DE SOCIOLOGÍA	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
2346898X	GEOGRAFICANDO	EDUCAÇÃO                                          	B1
23469161	IBEROAMERICAN JOURNAL OF PROJECT MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
2346920X	REVISTA LATINOAMERICANA DE ESTUDIOS CRÍTICOS ANIMALES	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
23469269	AMBIENS - REVISTA IBEROAMERICANA UNIVERSITARIA EN AMBIENTE, SOCIEDAD Y SUSTENTABILIDAD	ENSINO	B3
23469986	REVISTA DE EXTENSION UNIVERSITARIA E+	COMUNICAÇÃO E INFORMAÇÃO	A4
23470011	REVISTA CONTENCIOSA	EDUCAÇÃO                                          	A4
23470135	AURA. REVISTA DE HISTORIA Y TEORÍA DEL ARTE	ARTES	A4
23470151	RATIO IURIS	LINGUíSTICA E LITERATURA	B2
23470658	INTEGRACIÓN Y CONOCIMIENTO	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
23471050	REVISTA DE CIENCIAS SOCIALES.SEGUNDA EPOCA	ARQUITETURA, URBANISMO E DESIGN	A3
23471085	LA RIVADA	COMUNICAÇÃO E INFORMAÇÃO	B1
2347212X	JOURNAL OF APPLIED BIOLOGY & BIOTECHNOLOGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
23472154	INTERNATIONAL JOURNAL OF INNOVATIVE PHARMACEUTICAL SCIENCES AND RESEARCH	FARMÁCIA                                          	C
23473487	JOURNAL OF ADVANCES IN PHYSICS	ASTRONOMIA / FÍSICA                               	C
23473517	VIRUSDISEASE	INTERDISCIPLINAR                                  	B2
23473584	VIRUSDISEASE	CIÊNCIAS BIOLÓGICAS I                             	B2
2347467X	CURRENT RESEARCH IN NUTRITION AND FOOD SCIENCE JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
23474688	CURRENT AGRICULTURE RESEARCH JOURNAL	CIÊNCIA DE ALIMENTOS                              	B4
23475129	INTERNATIONAL JOURNAL OF FISHERIES AND AQUATIC STUDIES	BIODIVERSIDADE	C
23475196	INTERNATIONAL STD RESEARCH & REVIEWS	FARMÁCIA                                          	C
2347520X	CARDIOLOGY AND ANGIOLOGY: AN INTERNATIONAL JOURNAL	ENSINO	C
23475471	JOURNAL OF BUSINESS MANAGEMENT & ECONOMICS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
23475641	EUROPEAN JOURNAL OF NUTRITION & FOOD SAFETY	MEDICINA I                                        	C
2347565X	ANNUAL RESEARCH & REVIEW IN BIOLOGY	BIOTECNOLOGIA                                     	B3
23475900	INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGY AND RESEARCH	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
